trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.9, 'e': 0.8957848329039129}",30,0,-165.17474784511666,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
111,False,"{'a': 0.9, 'e': 0.894889048071009}",20,0,-103.62537027215788,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
112,False,"{'a': 0.9, 'e': 0.8939941590229379}",20,0,-132.3480249512116,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
113,False,"{'a': 0.9, 'e': 0.893100164863915}",20,0,-40.23030741567006,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
114,False,"{'a': 0.9, 'e': 0.8922070646990511}",25,0,-43.50657691801223,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
115,False,"{'a': 0.9, 'e': 0.891314857634352}",20,0,-47.78715972712091,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
116,False,"{'a': 0.9, 'e': 0.8904235427767176}",25,10,-109.22444331365064,"{0: 8, 1: 0, 2: 4, 3: 2, 4: 1}",1
117,False,"{'a': 0.9, 'e': 0.889533119233941}",30,0,-49.39821547202725,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
118,False,"{'a': 0.9, 'e': 0.8886435861147071}",25,0,-85.97242219988735,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
119,False,"{'a': 0.9, 'e': 0.8877549425285923}",20,0,-121.28306619380199,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
120,False,"{'a': 0.9, 'e': 0.8868671875860638}",25,0,-117.93462321023014,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
121,False,"{'a': 0.9, 'e': 0.8859803203984776}",35,0,-93.11302341660752,"{0: 24, 1: 4, 2: 6, 3: 0, 4: 1}",0
122,False,"{'a': 0.9, 'e': 0.8850943400780792}",20,0,-52.17037667799906,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
123,False,"{'a': 0.9, 'e': 0.8842092457380011}",30,0,-96.47604896335618,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
124,False,"{'a': 0.9, 'e': 0.8833250364922631}",30,0,-179.46591946208147,"{0: 12, 1: 9, 2: 7, 3: 0, 4: 2}",0
125,False,"{'a': 0.9, 'e': 0.8824417114557709}",25,0,-138.74366068681485,"{0: 11, 1: 6, 2: 6, 3: 1, 4: 1}",0
126,False,"{'a': 0.9, 'e': 0.8815592697443151}",30,1,-39.692862356911576,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 0}",1
127,False,"{'a': 0.9, 'e': 0.8806777104745708}",20,0,-145.98749922841293,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
128,False,"{'a': 0.9, 'e': 0.8797970327640962}",20,0,-108.67837582881606,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
129,False,"{'a': 0.9, 'e': 0.8789172357313321}",35,8,-223.05254830197114,"{0: 13, 1: 5, 2: 3, 3: 3, 4: 3}",1
130,False,"{'a': 0.9, 'e': 0.8780383184956008}",25,0,-56.99637727777692,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
131,False,"{'a': 0.9, 'e': 0.8771602801771051}",20,0,-153.2495471836816,"{0: 7, 1: 3, 2: 8, 3: 1, 4: 1}",0
132,False,"{'a': 0.9, 'e': 0.876283119896928}",25,0,-191.2526581981857,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
133,False,"{'a': 0.9, 'e': 0.8754068367770311}",20,16,5.14930270946233,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.9, 'e': 0.8745314299402541}",20,0,-67.69167475299318,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
135,False,"{'a': 0.9, 'e': 0.8736568985103138}",25,0,-19.092538782110314,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
136,False,"{'a': 0.9, 'e': 0.8727832416118035}",25,0,-33.680631770169875,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
137,False,"{'a': 0.9, 'e': 0.8719104583701917}",25,0,-12.33392818892785,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
138,False,"{'a': 0.9, 'e': 0.8710385479118216}",20,0,-45.626853913148935,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
139,False,"{'a': 0.9, 'e': 0.8701675093639096}",25,0,-71.1684461670632,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
140,False,"{'a': 0.9, 'e': 0.8692973418545458}",30,0,-67.4393589420849,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",0
141,False,"{'a': 0.9, 'e': 0.8684280445126912}",20,0,-154.98333834593706,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",1
142,False,"{'a': 0.9, 'e': 0.8675596164681786}",25,0,-123.17658324754169,"{0: 15, 1: 6, 2: 1, 3: 1, 4: 2}",0
143,False,"{'a': 0.9, 'e': 0.8666920568517104}",25,0,-123.63915843057741,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
144,False,"{'a': 0.9, 'e': 0.8658253647948586}",30,0,-78.62253869311697,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
145,False,"{'a': 0.9, 'e': 0.8649595394300638}",20,0,-88.75097918601169,"{0: 8, 1: 6, 2: 5, 3: 1, 4: 0}",0
146,False,"{'a': 0.9, 'e': 0.8640945798906338}",25,0,-124.72431859760721,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
147,False,"{'a': 0.9, 'e': 0.8632304853107431}",25,8,-45.400031756931526,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
148,False,"{'a': 0.9, 'e': 0.8623672548254323}",30,0,-22.75742308372957,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
149,False,"{'a': 0.9, 'e': 0.861504887570607}",20,0,-125.59914166965564,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
150,False,"{'a': 0.9, 'e': 0.8606433826830363}",20,0,-77.6137523662287,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
151,False,"{'a': 0.9, 'e': 0.8597827393003532}",25,0,-230.02799012112834,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
152,False,"{'a': 0.9, 'e': 0.8589229565610529}",25,10,-103.423715252813,"{0: 8, 1: 0, 2: 4, 3: 2, 4: 1}",1
153,False,"{'a': 0.9, 'e': 0.8580640336044919}",30,22,8.78133343938734,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.9, 'e': 0.8572059695708873}",25,0,-85.8128968204864,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
155,False,"{'a': 0.9, 'e': 0.8563487636013165}",20,0,-76.20899569521083,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
156,False,"{'a': 0.9, 'e': 0.8554924148377152}",25,0,-135.77499661701702,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
157,False,"{'a': 0.9, 'e': 0.8546369224228775}",30,0,-157.81585247832783,"{0: 14, 1: 9, 2: 4, 3: 1, 4: 2}",0
158,False,"{'a': 0.9, 'e': 0.8537822855004545}",20,0,-68.38203080879386,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
159,False,"{'a': 0.9, 'e': 0.8529285032149541}",30,0,-165.798238829331,"{0: 16, 1: 3, 2: 7, 3: 3, 4: 1}",0
160,False,"{'a': 0.9, 'e': 0.8520755747117391}",30,0,-128.2309034421985,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
161,False,"{'a': 0.9, 'e': 0.8512234991370274}",20,0,-110.10253179493787,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
162,False,"{'a': 0.9, 'e': 0.8503722756378904}",25,0,-86.49536927666293,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
163,False,"{'a': 0.9, 'e': 0.8495219033622525}",20,0,-50.27477645668199,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
164,False,"{'a': 0.9, 'e': 0.8486723814588902}",20,0,-76.26374455741276,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
165,False,"{'a': 0.9, 'e': 0.8478237090774313}",20,0,-151.9475702323358,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
166,False,"{'a': 0.9, 'e': 0.8469758853683539}",20,12,-5.517877924458467,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
167,False,"{'a': 0.9, 'e': 0.8461289094829856}",30,0,-2.1973157423984127,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
168,False,"{'a': 0.9, 'e': 0.8452827805735026}",25,0,-142.01787245546956,"{0: 20, 1: 0, 2: 0, 3: 2, 4: 3}",0
169,False,"{'a': 0.9, 'e': 0.8444374977929291}",20,0,-95.13541966671059,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
170,False,"{'a': 0.9, 'e': 0.8435930602951361}",20,0,-97.20492912878102,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
171,False,"{'a': 0.9, 'e': 0.842749467234841}",20,10,-34.868470362425064,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
172,False,"{'a': 0.9, 'e': 0.8419067177676062}",20,0,-183.22813316424083,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
173,False,"{'a': 0.9, 'e': 0.8410648110498385}",25,0,-65.76877291171522,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
174,False,"{'a': 0.9, 'e': 0.8402237462387887}",25,3,-116.56669656976239,"{0: 9, 1: 2, 2: 10, 3: 1, 4: 0}",1
175,False,"{'a': 0.9, 'e': 0.83938352249255}",20,0,-101.51231921784897,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
176,False,"{'a': 0.9, 'e': 0.8385441389700574}",25,14,-67.64130677334863,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
177,False,"{'a': 0.9, 'e': 0.8377055948310873}",20,0,6.692242507841993,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
178,False,"{'a': 0.9, 'e': 0.8368678892362562}",20,2,-92.22608376723751,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 1}",1
179,False,"{'a': 0.9, 'e': 0.83603102134702}",20,0,-109.45694125157121,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
180,False,"{'a': 0.9, 'e': 0.8351949903256729}",20,0,-91.181695524266,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
